ID del Animal,Tiempo,Latitud,Longitud,Comportamiento,Velocidad
1,2024-11-01 09:00:00,12.346479636567278,-98.76274804419582,Normal,2.99
1,2024-11-01 09:10:00,12.346306348067253,-98.76326890013219,Normal,1.46
1,2024-11-01 09:20:00,12.345887419520079,-98.76317245188804,Desviado,5.57
1,2024-11-01 09:30:00,12.346524825663522,-98.76142556594093,Normal,1.86
1,2024-11-01 09:40:00,12.346550615314728,-98.76275910765237,Normal,1.45
1,2024-11-01 09:50:00,12.34579333752132,-98.7620525533966,Normal,2.21
1,2024-11-01 10:00:00,12.347570179738193,-98.76152013455521,Normal,2.97
1,2024-11-01 10:10:00,12.3462963488299,-98.76222437607586,Normal,1.23
1,2024-11-01 10:20:00,12.346625335230426,-98.76219223899982,Normal,2.96
1,2024-11-01 10:30:00,12.346122126619308,-98.76236332361572,Normal,1.22
2,2024-11-01 09:00:00,12.34168025268573,-98.76035217695674,Normal,2.61
2,2024-11-01 09:10:00,12.341570638332405,-98.76127983274318,Normal,1.44
2,2024-11-01 09:20:00,12.342617637185176,-98.76018477856678,Normal,1.63
2,2024-11-01 09:30:00,12.341206267200748,-98.76131036013992,Desviado,4.06
2,2024-11-01 09:40:00,12.34090472092058,-98.7604218029218,Normal,1.16
2,2024-11-01 09:50:00,12.342373647676874,-98.75984076436465,Normal,1.66
2,2024-11-01 10:00:00,12.340949382210754,-98.76082235346495,Normal,2.42
2,2024-11-01 10:10:00,12.342583508014512,-98.76067158592211,Normal,2.86
2,2024-11-01 10:20:00,12.342460041159727,-98.76086016199756,Normal,1.89
2,2024-11-01 10:30:00,12.34223999468445,-98.7616043879292,Desviado,5.76
3,2024-11-01 09:00:00,12.345320704367142,-98.76401868187261,Normal,2.8
3,2024-11-01 09:10:00,12.344334335130888,-98.76359315087103,Normal,2.7
3,2024-11-01 09:20:00,12.343748517861451,-98.76333557629964,Normal,1.31
3,2024-11-01 09:30:00,12.34457815159452,-98.76411030999954,Normal,2.35
3,2024-11-01 09:40:00,12.344390783045212,-98.76369169556227,Desviado,5.91
3,2024-11-01 09:50:00,12.344185067663929,-98.763985741905,Normal,2.89
3,2024-11-01 10:00:00,12.343536893820145,-98.76346444338948,Desviado,6.12
3,2024-11-01 10:10:00,12.345276924731952,-98.76283328373927,Desviado,4.4
3,2024-11-01 10:20:00,12.343910782127649,-98.76436813018742,Normal,1.22
3,2024-11-01 10:30:00,12.344782506051041,-98.76313383685194,Desviado,6.09
